####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-11 13:21:02
## Sample: 1822
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC007041.1,pass,128,70,1.83,70,1.83,4.05
AC007064.4,low_depth,2,2,1.0,2,1.0,0.0
AC007066.1,pass,4830,1293,3.74,1212,3.99,10.0
AC007066.2,pass,280,70,4.0,66,4.24,5.86
AC007068.2,low_depth,2,2,1.0,2,1.0,0.0
AC007091.1,pass,23,6,3.83,6,3.83,6.67
AC007098.1,pass,47,23,2.04,23,2.04,9.0
AC007098.2,pass,230,152,1.51,151,1.52,4.76
AC007099.1,low_depth,1,1,1.0,1,1.0,0.0
AC007099.2,pass,11,2,5.5,1,11.0,11.0
AC007100.1,low_depth,3,3,1.0,3,1.0,0.0
AC007106.1,low_depth,2,2,1.0,2,1.0,0.0
AC007114.1,pass,107,27,3.96,27,3.96,7.15
AC007114.2,low_depth,79,76,1.04,76,1.04,2.5
AC007115.1,low_depth,14,12,1.17,12,1.17,2.0
AC007126.1,low_depth,13,6,2.17,6,2.17,3.33
AC007132.1,low_depth,2,2,1.0,2,1.0,0.0
AC007136.1,low_depth,1,1,1.0,1,1.0,0.0
AC007159.1,pass,161,72,2.24,71,2.27,5.5
AC007160.1,pass,12352,2898,4.26,2689,4.59,7.97
AC007161.1,pass,1970,566,3.48,541,3.64,7.8
AC007161.2,pass,72,15,4.8,14,5.14,7.44
AC007163.1,low_depth,1,1,1.0,1,1.0,0.0
AC007179.1,low_depth,1,1,1.0,1,1.0,0.0
AC007179.2,low_depth,6,6,1.0,6,1.0,0.0
AC007179.3,low_depth,6,5,1.2,5,1.2,2.0
AC007182.1,low_depth,7,5,1.4,5,1.4,3.0
AC007182.2,pass,1370,618,2.22,604,2.27,6.63
AC007191.1,low_depth,22,16,1.38,16,1.38,2.5
AC007192.1,low_depth,2,2,1.0,2,1.0,0.0
AC007192.2,low_depth,3,3,1.0,3,1.0,0.0
AC007193.1,pass,15,3,5.0,2,7.5,7.5
AC007193.3,pass,219,65,3.37,64,3.42,7.46
AC007204.1,low_depth,3,3,1.0,3,1.0,0.0
AC007204.2,low_depth,8,8,1.0,8,1.0,0.0
AC007207.1,pass,1109,596,1.86,582,1.91,6.32
