####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A230028O05Rik,pass,34,3,11.33,1,34.0,34.0
A230050P20Rik,pass,507,45,11.27,38,13.34,19.76
A230057D06Rik,low_depth,1,1,1.0,1,1.0,0.0
A230072C01Rik,pass,24,1,24.0,1,24.0,24.0
A230072E10Rik,low_depth,5,3,1.67,3,1.67,3.0
A230083N12Rik,low_depth,4,4,1.0,4,1.0,0.0
A230087F16Rik,low_depth,3,3,1.0,3,1.0,0.0
A230098N10Rik,low_depth,1,1,1.0,1,1.0,0.0
A230103L15Rik,low_depth,2,2,1.0,2,1.0,0.0
A230107N01Rik,low_depth,2,2,1.0,2,1.0,0.0
A230108P19Rik,low_depth,1,1,1.0,1,1.0,0.0
A2m,pass,88,6,14.67,5,17.6,28.67
A2ml1,pass,8,3,2.67,3,2.67,6.0
A330008L17Rik,low_depth,1,1,1.0,1,1.0,0.0
A330015K06Rik,low_depth,1,1,1.0,1,1.0,0.0
A330023F24Rik,pass,23,3,7.67,3,7.67,11.0
A330032B11Rik,pass,18,4,4.5,3,6.0,16.0
A330035P11Rik,pass,21,3,7.0,2,10.5,20.0
A330040F15Rik,low_depth,198,198,1.0,198,1.0,0.0
A330069E16Rik,pass,19,2,9.5,2,9.5,18.0
A330076H08Rik,low_depth,1,1,1.0,1,1.0,0.0
A330084C13Rik,low_depth,2,2,1.0,2,1.0,0.0
A330102I10Rik,pass,33,4,8.25,3,11.0,16.0
A430005L14Rik,pass,160,17,9.41,13,12.31,22.0
A430010J10Rik,pass,18,8,2.25,8,2.25,6.0
A430027C01Rik,low_depth,2,1,2.0,1,2.0,2.0
A430027H14Rik,low_depth,1,1,1.0,1,1.0,0.0
