"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index109581",1063,3105,"mainly_mouse"
"1820_Cell_Index109607",0,12176,"unique_mouse"
"1820_Cell_Index109724",867,2324,"mainly_mouse"
"1820_Cell_Index109773",899,2951,"mainly_mouse"
"1820_Cell_Index109831",8279,20787,"mainly_mouse"
"1820_Cell_Index109910",918,2609,"mainly_mouse"
"1820_Cell_Index109930",0,1681,"unique_mouse"
"1820_Cell_Index109935",727,2011,"mainly_mouse"
"1820_Cell_Index10995",9858,25827,"mainly_mouse"
"1820_Cell_Index109987",539,1643,"mainly_mouse"
"1820_Cell_Index110010",0,3359,"unique_mouse"
"1820_Cell_Index110022",783,2403,"mainly_mouse"
"1820_Cell_Index110061",732,2065,"mainly_mouse"
"1820_Cell_Index110070",1839,5757,"mainly_mouse"
"1820_Cell_Index110175",2858,7658,"mainly_mouse"
"1820_Cell_Index110188",1077,3387,"mainly_mouse"
"1820_Cell_Index110196",803,2284,"mainly_mouse"
"1820_Cell_Index11032",671,2080,"mainly_mouse"
"1820_Cell_Index110321",668,2144,"mainly_mouse"
"1820_Cell_Index110342",1147,2689,"mainly_mouse"
"1820_Cell_Index110397",507,1853,"mainly_mouse"
"1820_Cell_Index110485",1045,3013,"mainly_mouse"
"1820_Cell_Index11051",988,2633,"mainly_mouse"
"1820_Cell_Index110514",1285,3551,"mainly_mouse"
"1820_Cell_Index110530",590,1754,"mainly_mouse"
"1820_Cell_Index110564",997,2985,"mainly_mouse"
"1820_Cell_Index110642",12413,29508,"mainly_mouse"
"1820_Cell_Index110672",0,583,"unique_mouse"
"1820_Cell_Index110674",2477,7204,"mainly_mouse"
"1820_Cell_Index110790",890,2666,"mainly_mouse"
"1820_Cell_Index110886",31146,20352,"mainly_human"
"1820_Cell_Index110929",7460,18345,"mainly_mouse"
"1820_Cell_Index111020",822,2549,"mainly_mouse"
"1820_Cell_Index111157",938,2652,"mainly_mouse"
"1820_Cell_Index111211",1133,3454,"mainly_mouse"
"1820_Cell_Index111260",893,2783,"mainly_mouse"
"1820_Cell_Index111365",941,2742,"mainly_mouse"
