"Cell_Index","UMIs_human"
"1820_Cell_Index133072",628
"1820_Cell_Index133113",615
"1820_Cell_Index133194",1952
"1820_Cell_Index1332",1095
"1820_Cell_Index133460",878
"1820_Cell_Index13348",1310
"1820_Cell_Index133758",692
"1820_Cell_Index133836",778
"1820_Cell_Index133934",1773
"1820_Cell_Index134",718
"1820_Cell_Index134022",3476
"1820_Cell_Index134218",546
"1820_Cell_Index13422",603
"1820_Cell_Index134258",996
"1820_Cell_Index134270",917
"1820_Cell_Index134518",1111
"1820_Cell_Index134574",640
"1820_Cell_Index134732",984
"1820_Cell_Index134766",603
"1820_Cell_Index134850",914
"1820_Cell_Index134992",601
"1820_Cell_Index134998",1297
"1820_Cell_Index135098",611
"1820_Cell_Index135130",932
"1820_Cell_Index135381",685
"1820_Cell_Index135537",586
"1820_Cell_Index135562",7700
"1820_Cell_Index135578",4662
"1820_Cell_Index135755",951
"1820_Cell_Index135903",861
"1820_Cell_Index135962",5016
"1820_Cell_Index136098",815
"1820_Cell_Index136196",962
"1820_Cell_Index136214",1398
"1820_Cell_Index136217",1053
"1820_Cell_Index136271",1088
"1820_Cell_Index136442",850
"1820_Cell_Index136464",677
"1820_Cell_Index13660",941
"1820_Cell_Index136648",7044
"1820_Cell_Index136662",716
"1820_Cell_Index136775",745
"1820_Cell_Index136788",683
"1820_Cell_Index136872",1043
"1820_Cell_Index137005",662
"1820_Cell_Index137276",543
"1820_Cell_Index137302",853
"1820_Cell_Index137317",756
"1820_Cell_Index137367",1029
"1820_Cell_Index137680",958
"1820_Cell_Index137704",693
"1820_Cell_Index137741",674
"1820_Cell_Index137835",3272
"1820_Cell_Index137867",1069
"1820_Cell_Index13795",1162
"1820_Cell_Index138103",1237
"1820_Cell_Index138199",515
"1820_Cell_Index13822",827
"1820_Cell_Index138272",820
"1820_Cell_Index138370",18822
"1820_Cell_Index13844",1038
"1820_Cell_Index138456",1178
"1820_Cell_Index138459",1007
"1820_Cell_Index138466",955
"1820_Cell_Index13849",644
"1820_Cell_Index13851",714
"1820_Cell_Index138510",810
"1820_Cell_Index138528",1112
