"Cell_Index","UMIs_mouse"
"1820_Cell_Index133113",1838
"1820_Cell_Index133194",5378
"1820_Cell_Index1332",2779
"1820_Cell_Index133460",2435
"1820_Cell_Index13348",4215
"1820_Cell_Index1336",714
"1820_Cell_Index133836",2179
"1820_Cell_Index133934",5170
"1820_Cell_Index134",1959
"1820_Cell_Index134022",8278
"1820_Cell_Index134218",1775
"1820_Cell_Index13422",1865
"1820_Cell_Index134258",2951
"1820_Cell_Index134270",2863
"1820_Cell_Index134518",3367
"1820_Cell_Index134574",2044
"1820_Cell_Index134732",2820
"1820_Cell_Index134766",1725
"1820_Cell_Index134850",3153
"1820_Cell_Index134992",1795
"1820_Cell_Index134998",3673
"1820_Cell_Index13507",1055
"1820_Cell_Index135098",1760
"1820_Cell_Index135130",2557
"1820_Cell_Index135381",1873
"1820_Cell_Index135537",1534
"1820_Cell_Index135562",19152
"1820_Cell_Index135578",11785
"1820_Cell_Index135755",2824
"1820_Cell_Index135903",2475
"1820_Cell_Index135962",12337
"1820_Cell_Index136098",2455
"1820_Cell_Index136196",2556
"1820_Cell_Index136214",4337
"1820_Cell_Index136217",2976
"1820_Cell_Index136271",3017
"1820_Cell_Index136442",2320
"1820_Cell_Index136464",1825
"1820_Cell_Index13660",2833
"1820_Cell_Index136648",17206
"1820_Cell_Index136662",2211
"1820_Cell_Index136775",2338
"1820_Cell_Index136788",1805
"1820_Cell_Index136872",2678
"1820_Cell_Index137005",2270
"1820_Cell_Index137276",1714
"1820_Cell_Index137302",2631
"1820_Cell_Index137317",2601
"1820_Cell_Index137367",2666
"1820_Cell_Index137680",2912
"1820_Cell_Index137704",1905
"1820_Cell_Index137741",1829
"1820_Cell_Index137835",8597
"1820_Cell_Index137867",3288
"1820_Cell_Index13795",3024
"1820_Cell_Index138103",3363
"1820_Cell_Index138199",1705
"1820_Cell_Index13822",2445
"1820_Cell_Index138272",2544
"1820_Cell_Index138370",41512
"1820_Cell_Index13844",3041
"1820_Cell_Index138456",3096
"1820_Cell_Index138459",2899
"1820_Cell_Index138466",2996
"1820_Cell_Index13849",2015
"1820_Cell_Index13851",2197
"1820_Cell_Index138510",2305
"1820_Cell_Index138528",3061
"1820_Cell_Index13854",1692
"1820_Cell_Index138634",1307
"1820_Cell_Index138750",1904
"1820_Cell_Index138794",2845
"1820_Cell_Index138802",1305
"1820_Cell_Index138828",2281
"1820_Cell_Index138942",1885
"1820_Cell_Index139000",1549
"1820_Cell_Index139058",2928
"1820_Cell_Index139081",1919
"1820_Cell_Index139206",9837
"1820_Cell_Index139397",2965
"1820_Cell_Index139772",3498
"1820_Cell_Index139773",15978
"1820_Cell_Index139819",2416
"1820_Cell_Index140331",2031
"1820_Cell_Index140380",3290
"1820_Cell_Index140387",2537
"1820_Cell_Index140537",1078
"1820_Cell_Index140608",4426
"1820_Cell_Index14070",18018
"1820_Cell_Index140727",2518
"1820_Cell_Index140838",2498
"1820_Cell_Index140848",59255
"1820_Cell_Index140971",1909
"1820_Cell_Index141025",4344
"1820_Cell_Index141029",17460
"1820_Cell_Index141113",2586
"1820_Cell_Index141213",926
"1820_Cell_Index1413",1781
"1820_Cell_Index141311",2038
"1820_Cell_Index141424",1829
"1820_Cell_Index141515",2418
"1820_Cell_Index141592",12288
"1820_Cell_Index141652",2322
"1820_Cell_Index141711",9322
"1820_Cell_Index141819",11082
"1820_Cell_Index141942",1770
"1820_Cell_Index141980",2527
"1820_Cell_Index142189",1602
"1820_Cell_Index142232",1736
"1820_Cell_Index142243",2289
"1820_Cell_Index142287",2640
"1820_Cell_Index142356",2077
"1820_Cell_Index14241",2085
"1820_Cell_Index14273",2253
"1820_Cell_Index142773",2099
"1820_Cell_Index142911",1353
"1820_Cell_Index143261",1883
"1820_Cell_Index143300",2286
"1820_Cell_Index143411",1953
"1820_Cell_Index143414",512
"1820_Cell_Index143485",17874
"1820_Cell_Index143546",4484
"1820_Cell_Index143562",1103
"1820_Cell_Index143625",2350
"1820_Cell_Index143674",19813
"1820_Cell_Index14371",2155
"1820_Cell_Index143716",1529
"1820_Cell_Index143748",3146
"1820_Cell_Index14391",19629
"1820_Cell_Index143941",9335
"1820_Cell_Index143948",2491
"1820_Cell_Index143978",1917
"1820_Cell_Index144108",2238
"1820_Cell_Index144179",14357
"1820_Cell_Index144270",1802
"1820_Cell_Index144275",20984
"1820_Cell_Index144297",1949
"1820_Cell_Index144305",2682
"1820_Cell_Index144405",1653
"1820_Cell_Index144436",2046
"1820_Cell_Index144560",1378
"1820_Cell_Index144673",1901
"1820_Cell_Index144689",2549
"1820_Cell_Index144693",4377
"1820_Cell_Index144703",2964
"1820_Cell_Index144806",535
"1820_Cell_Index144830",5751
"1820_Cell_Index144929",2488
"1820_Cell_Index145171",2582
"1820_Cell_Index145191",2425
"1820_Cell_Index145430",2699
"1820_Cell_Index145523",1911
"1820_Cell_Index145532",3432
"1820_Cell_Index145607",8690
"1820_Cell_Index145635",4460
"1820_Cell_Index145760",2378
"1820_Cell_Index145799",4070
"1820_Cell_Index145852",913
"1820_Cell_Index145883",1451
"1820_Cell_Index145942",2950
"1820_Cell_Index146214",1658
"1820_Cell_Index146273",2320
"1820_Cell_Index146294",1068
"1820_Cell_Index146484",2325
"1820_Cell_Index146571",1834
"1820_Cell_Index146580",11290
"1820_Cell_Index146749",1195
"1820_Cell_Index146762",1691
"1820_Cell_Index146771",2555
"1820_Cell_Index14687",2054
"1820_Cell_Index146877",1173
"1820_Cell_Index146941",2245
"1820_Cell_Index147012",2181
"1820_Cell_Index147014",2940
"1820_Cell_Index147037",1780
"1820_Cell_Index147120",2596
"1820_Cell_Index147147",3982
"1820_Cell_Index147205",778
"1820_Cell_Index14726",2185
"1820_Cell_Index14737",3454
"1820_Cell_Index147409",528
"1820_Cell_Index147615",2810
"1820_Cell_Index147718",10914
"1820_Cell_Index147767",1493
"1820_Cell_Index147773",2238
"1820_Cell_Index147797",2136
"1820_Cell_Index147807",3530
"1820_Cell_Index147823",2334
"1820_Cell_Index147876",2916
"1820_Cell_Index148008",2833
"1820_Cell_Index148091",4749
"1820_Cell_Index148101",2422
"1820_Cell_Index148197",2108
"1820_Cell_Index148234",7829
"1820_Cell_Index148250",2362
"1820_Cell_Index148424",1902
"1820_Cell_Index148564",20306
"1820_Cell_Index14864",3313
"1820_Cell_Index148646",2501
"1820_Cell_Index148813",1183
"1820_Cell_Index148893",2529
"1820_Cell_Index148923",3969
"1820_Cell_Index148949",15737
"1820_Cell_Index149117",3118
"1820_Cell_Index149125",3233
"1820_Cell_Index149202",1656
"1820_Cell_Index149409",3859
"1820_Cell_Index149435",2687
"1820_Cell_Index149516",2315
"1820_Cell_Index149521",2337
"1820_Cell_Index149570",2366
"1820_Cell_Index149576",1857
"1820_Cell_Index149608",2299
"1820_Cell_Index149637",32674
"1820_Cell_Index149651",3745
