####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC005746.1,low_depth,9,6,1.5,6,1.5,2.5
AC005746.2,low_depth,4,3,1.33,3,1.33,2.0
AC005753.1,low_depth,5,3,1.67,3,1.67,3.0
AC005758.1,low_depth,3,1,3.0,1,3.0,3.0
AC005759.1,pass,7,4,1.75,4,1.75,4.0
AC005772.1,low_depth,1,1,1.0,1,1.0,0.0
AC005775.1,low_depth,2,2,1.0,2,1.0,0.0
AC005776.1,pass,6784,1329,5.1,1222,5.55,8.02
AC005776.2,low_depth,6,6,1.0,6,1.0,0.0
AC005777.1,pass,16,7,2.29,6,2.67,4.33
AC005779.1,low_depth,1,1,1.0,1,1.0,0.0
AC005785.1,low_depth,9,7,1.29,7,1.29,2.0
AC005785.2,pass,13,5,2.6,5,2.6,9.0
AC005786.1,low_depth,34,26,1.31,26,1.31,3.0
AC005786.2,pass,7,3,2.33,3,2.33,5.0
AC005786.4,pass,27,12,2.25,12,2.25,8.5
AC005789.1,low_depth,2,2,1.0,2,1.0,0.0
AC005790.1,pass,14,3,4.67,2,7.0,7.0
AC005798.1,low_depth,7,5,1.4,5,1.4,2.0
AC005808.1,pass,14,4,3.5,4,3.5,6.0
AC005821.1,pass,97,17,5.71,17,5.71,11.0
AC005822.1,pass,35,20,1.75,20,1.75,4.0
AC005823.1,low_depth,1,1,1.0,1,1.0,0.0
AC005823.2,low_depth,2,2,1.0,2,1.0,0.0
AC005828.3,low_depth,5,5,1.0,5,1.0,0.0
AC005828.4,low_depth,20,19,1.05,19,1.05,2.0
AC005828.5,low_depth,1,1,1.0,1,1.0,0.0
AC005828.6,low_depth,5,5,1.0,5,1.0,0.0
AC005828.7,pass,509,120,4.24,115,4.43,9.38
AC005829.2,low_depth,3,3,1.0,3,1.0,0.0
AC005831.1,pass,205,37,5.54,33,6.21,13.29
AC005832.2,pass,69,17,4.06,17,4.06,8.43
AC005832.3,low_depth,23,15,1.53,14,1.64,2.8
AC005833.1,low_depth,1,1,1.0,1,1.0,0.0
AC005833.2,low_depth,1,1,1.0,1,1.0,0.0
AC005837.1,pass,46,10,4.6,9,5.11,8.4
AC005838.1,low_depth,1,1,1.0,1,1.0,0.0
AC005838.2,pass,38,4,9.5,4,9.5,12.33
AC005839.1,pass,63,20,3.15,18,3.5,7.43
AC005840.1,pass,8956,3339,2.68,3250,2.76,4.42
AC005840.2,pass,1746,245,7.13,213,8.2,13.67
AC005840.4,pass,61,21,2.9,21,2.9,6.71
AC005841.1,pass,32,3,10.67,3,10.67,15.5
AC005842.1,pass,35,5,7.0,5,7.0,11.0
AC005858.1,low_depth,1,1,1.0,1,1.0,0.0
AC005858.2,low_depth,10,9,1.11,9,1.11,2.0
AC005863.1,pass,55,17,3.24,15,3.67,9.0
AC005865.1,pass,29,11,2.64,11,2.64,7.0
AC005865.2,pass,42,17,2.47,17,2.47,13.5
AC005884.1,low_depth,1,1,1.0,1,1.0,0.0
AC005884.2,low_depth,11,8,1.38,7,1.57,3.0
AC005899.3,low_depth,1,1,1.0,1,1.0,0.0
AC005899.5,low_depth,16,15,1.07,15,1.07,2.0
AC005899.8,low_depth,9,9,1.0,9,1.0,0.0
AC005901.1,low_depth,1,1,1.0,1,1.0,0.0
AC005906.1,low_depth,324,173,1.87,171,1.89,3.22
AC005906.2,low_depth,57,44,1.3,44,1.3,3.6
AC005906.3,low_depth,11,6,1.83,6,1.83,2.67
AC005908.1,low_depth,4,4,1.0,4,1.0,0.0
AC005911.1,pass,10,3,3.33,3,3.33,8.0
AC005912.1,pass,4749,1773,2.68,1705,2.79,6.46
AC005912.2,pass,73,13,5.62,13,5.62,13.0
AC005915.1,low_depth,10,6,1.67,6,1.67,3.0
AC005920.1,low_depth,4,3,1.33,3,1.33,2.0
AC005920.3,pass,24,5,4.8,4,6.0,21.0
AC005920.4,pass,39,20,1.95,20,1.95,4.8
AC005921.1,low_depth,12,12,1.0,12,1.0,0.0
AC005921.2,pass,16,2,8.0,2,8.0,15.0
AC005921.3,pass,48,14,3.43,13,3.69,9.75
AC005921.4,pass,23,7,3.29,7,3.29,9.0
AC005944.1,pass,60,8,7.5,8,7.5,18.33
AC005951.1,low_depth,7,7,1.0,7,1.0,0.0
AC005954.1,low_depth,5,4,1.25,4,1.25,2.0
AC005954.2,low_depth,1,1,1.0,1,1.0,0.0
AC005972.1,low_depth,3,3,1.0,3,1.0,0.0
AC005972.2,low_depth,5,3,1.67,3,1.67,3.0
AC005972.3,pass,15,4,3.75,4,3.75,6.5
AC005999.2,pass,39,22,1.77,22,1.77,9.5
AC006001.1,low_depth,1,1,1.0,1,1.0,0.0
AC006001.2,low_depth,1,1,1.0,1,1.0,0.0
AC006001.3,pass,735,193,3.81,184,3.99,6.86
AC006004.1,low_depth,4,2,2.0,2,2.0,3.0
AC006006.1,pass,16,2,8.0,1,16.0,16.0
AC006007.1,pass,7,4,1.75,4,1.75,4.0
AC006011.2,pass,450,154,2.92,148,3.04,7.57
AC006017.1,low_depth,58,36,1.61,36,1.61,3.44
